Model,Location,MAPE,horizon,reference_date
MOBS-GLEAM_FLUH,47,0.08968609865470852,-1,2024-02-10
MOBS-GLEAM_FLUH,48,0.31869662921348313,-1,2024-02-10
MOBS-GLEAM_FLUH,49,0.14285714285714285,-1,2024-02-10
MOBS-GLEAM_FLUH,50,0.05555555555555555,-1,2024-02-10
MOBS-GLEAM_FLUH,51,0.11413043478260869,-1,2024-02-10
MOBS-GLEAM_FLUH,53,0.06666666666666667,-1,2024-02-10
MOBS-GLEAM_FLUH,54,0.047244094488188976,-1,2024-02-10
MOBS-GLEAM_FLUH,55,0.05054857142857145,-1,2024-02-10
MOBS-GLEAM_FLUH,56,0.15384615384615385,-1,2024-02-10
MOBS-GLEAM_FLUH,US,0.10298871709151694,-1,2024-02-10
FluSight-baseline,01,0.02702702702702703,-1,2023-11-11
FluSight-baseline,02,0.030303030303030304,-1,2023-11-11
FluSight-baseline,04,0.0,-1,2023-11-11
FluSight-baseline,05,0.16666666666666666,-1,2023-11-11
FluSight-baseline,06,0.010309278350515464,-1,2023-11-11
FluSight-baseline,08,0.0,-1,2023-11-11
FluSight-baseline,09,0.0,-1,2023-11-11
FluSight-baseline,10,0.0,-1,2023-11-11
FluSight-baseline,12,0.01580135440180587,-1,2023-11-11
FluSight-baseline,13,0.23214285714285715,-1,2023-11-11
FluSight-baseline,15,0.0,-1,2023-11-11
FluSight-baseline,16,0.0,-1,2023-11-11
FluSight-baseline,17,0.08823529411764706,-1,2023-11-11
FluSight-baseline,18,0.023255813953488372,-1,2023-11-11
FluSight-baseline,19,0.0,-1,2023-11-11
FluSight-baseline,20,0.2,-1,2023-11-11
FluSight-baseline,21,0.0,-1,2023-11-11
FluSight-baseline,22,0.0,-1,2023-11-11
FluSight-baseline,23,0.0,-1,2023-11-11
FluSight-baseline,24,0.0,-1,2023-11-11
FluSight-baseline,25,0.0,-1,2023-11-11
FluSight-baseline,26,0.0,-1,2023-11-11
FluSight-baseline,27,0.4444444444444444,-1,2023-11-11
FluSight-baseline,28,0.3333333333333333,-1,2023-11-11
FluSight-baseline,29,0.041666666666666664,-1,2023-11-11
FluSight-baseline,30,0.0,-1,2023-11-11
FluSight-baseline,31,0.0,-1,2023-11-11
FluSight-baseline,32,0.16666666666666666,-1,2023-11-11
FluSight-baseline,33,0.0,-1,2023-11-11
FluSight-baseline,34,0.0,-1,2023-11-11
FluSight-baseline,35,0.0,-1,2023-11-11
FluSight-baseline,36,0.0,-1,2023-11-11
FluSight-baseline,37,0.0,-1,2023-11-11
FluSight-baseline,39,0.0,-1,2023-11-11
FluSight-baseline,40,0.2222222222222222,-1,2023-11-11
FluSight-baseline,41,0.5,-1,2023-11-11
FluSight-baseline,42,0.25806451612903225,-1,2023-11-11
FluSight-baseline,45,0.0,-1,2023-11-11
FluSight-baseline,46,0.0,-1,2023-11-11
FluSight-baseline,47,0.0,-1,2023-11-11
FluSight-baseline,48,0.017241379310344827,-1,2023-11-11
FluSight-baseline,49,0.0,-1,2023-11-11
FluSight-baseline,51,0.0196078431372549,-1,2023-11-11
FluSight-baseline,53,0.0,-1,2023-11-11
FluSight-baseline,54,0.0,-1,2023-11-11
FluSight-baseline,55,0.125,-1,2023-11-11
FluSight-baseline,56,0.0,-1,2023-11-11
FluSight-baseline,US,0.004468718967229395,-1,2023-11-11
FluSight-baseline,01,0.008333333333333333,-1,2024-02-24
FluSight-baseline,02,0.0,-1,2024-02-24
FluSight-baseline,04,0.1323529411764706,-1,2024-02-24
FluSight-baseline,05,0.08139534883720931,-1,2024-02-24
FluSight-baseline,06,0.043859649122807015,-1,2024-02-24
FluSight-baseline,08,0.0072992700729927005,-1,2024-02-24
FluSight-baseline,09,0.0,-1,2024-02-24
FluSight-baseline,10,0.0,-1,2024-02-24
FluSight-baseline,11,0.0,-1,2024-02-24
FluSight-baseline,12,0.035398230088495575,-1,2024-02-24
FluSight-baseline,13,0.13127413127413126,-1,2024-02-24
FluSight-baseline,15,0.0,-1,2024-02-24
FluSight-baseline,16,0.0,-1,2024-02-24
FluSight-baseline,17,0.015267175572519083,-1,2024-02-24
FluSight-baseline,18,0.15945330296127563,-1,2024-02-24
FluSight-baseline,19,0.0,-1,2024-02-24
FluSight-baseline,20,0.5675675675675675,-1,2024-02-24
FluSight-baseline,21,0.02127659574468085,-1,2024-02-24
FluSight-baseline,22,0.10588235294117647,-1,2024-02-24
FluSight-baseline,23,0.0,-1,2024-02-24
FluSight-baseline,24,0.0,-1,2024-02-24
FluSight-baseline,25,0.0,-1,2024-02-24
FluSight-baseline,26,0.024675324675324677,-1,2024-02-24
FluSight-baseline,27,0.0,-1,2024-02-24
FluSight-baseline,28,0.1702127659574468,-1,2024-02-24
FluSight-baseline,29,0.06779661016949153,-1,2024-02-24
FluSight-baseline,30,0.08333333333333333,-1,2024-02-24
FluSight-baseline,31,0.037037037037037035,-1,2024-02-24
FluSight-baseline,32,0.0196078431372549,-1,2024-02-24
FluSight-baseline,33,0.0,-1,2024-02-24
FluSight-baseline,34,0.005405405405405406,-1,2024-02-24
FluSight-baseline,35,0.0,-1,2024-02-24
FluSight-baseline,36,0.0038022813688212928,-1,2024-02-24
FluSight-baseline,37,0.0,-1,2024-02-24
FluSight-baseline,38,0.034482758620689655,-1,2024-02-24
FluSight-baseline,39,0.06557377049180328,-1,2024-02-24
FluSight-baseline,40,0.028277634961439587,-1,2024-02-24
FluSight-baseline,41,0.0,-1,2024-02-24
FluSight-baseline,42,0.012170385395537525,-1,2024-02-24
FluSight-baseline,44,0.034482758620689655,-1,2024-02-24
FluSight-baseline,45,0.0,-1,2024-02-24
FluSight-baseline,46,0.0,-1,2024-02-24
FluSight-baseline,47,0.005128205128205128,-1,2024-02-24
FluSight-baseline,48,0.2071111111111111,-1,2024-02-24
FluSight-baseline,49,0.0,-1,2024-02-24
FluSight-baseline,50,0.0,-1,2024-02-24
FluSight-baseline,51,0.02564102564102564,-1,2024-02-24
FluSight-baseline,53,0.0273972602739726,-1,2024-02-24
FluSight-baseline,54,0.0,-1,2024-02-24
FluSight-baseline,55,0.03827751196172249,-1,2024-02-24
FluSight-baseline,56,0.0,-1,2024-02-24
FluSight-baseline,US,0.04196998292441808,-1,2024-02-24
MOBS-GLEAM_FLUH,01,0.6202898550724638,3,2024-12-14
MOBS-GLEAM_FLUH,02,0.7419354838709677,3,2024-12-14
MOBS-GLEAM_FLUH,04,0.8731896856234546,3,2024-12-14
MOBS-GLEAM_FLUH,05,0.875,3,2024-12-14
MOBS-GLEAM_FLUH,06,0.5544554455445545,3,2024-12-14
MOBS-GLEAM_FLUH,08,0.75,3,2024-12-14
MOBS-GLEAM_FLUH,09,0.9047619047619048,3,2024-12-14
MOBS-GLEAM_FLUH,10,0.7945945945945946,3,2024-12-14
MOBS-GLEAM_FLUH,11,0.9791666666666666,3,2024-12-14
MOBS-GLEAM_FLUH,12,0.5756302521008403,3,2024-12-14
MOBS-GLEAM_FLUH,13,0.8820326678765881,3,2024-12-14
