Model,location,target_end_date,wis,horizon,reference_date,baseline,wis_baseline,wis_ratio
FluSight-ensemble,30,2024-04-27,1.4600527633041995,0,2024-04-27,FluSight-baseline,1.880689130434783,0.7763392363344284
MIGHTE-Nsemble,30,2024-04-27,1.8966668052610307,0,2024-04-27,FluSight-baseline,1.880689130434783,1.008495649051023
MOBS-GLEAM_FLUH,30,2024-04-27,0.4434782608695652,0,2024-04-27,FluSight-baseline,1.880689130434783,0.23580625510769057
NU_UCSD-GLEAM_AI_FLUH,30,2024-04-27,2.7646965217391304,0,2024-04-27,FluSight-baseline,1.880689130434783,1.4700443986189147
CEPH-Rtrend_fluH,31,2024-04-27,1.6821739130434785,0,2024-04-27,FluSight-baseline,6.06063695652174,0.27755728071342767
FluSight-ensemble,31,2024-04-27,3.6061097548005763,0,2024-04-27,FluSight-baseline,6.06063695652174,0.5950050763096951
MIGHTE-Nsemble,31,2024-04-27,4.70014791592105,0,2024-04-27,FluSight-baseline,6.06063695652174,0.7755204526585787
MOBS-GLEAM_FLUH,31,2024-04-27,1.1680295652173915,0,2024-04-27,FluSight-baseline,6.06063695652174,0.19272389578796606
NU_UCSD-GLEAM_AI_FLUH,31,2024-04-27,4.274819130434783,0,2024-04-27,FluSight-baseline,6.06063695652174,0.7053415608131302
CEPH-Rtrend_fluH,32,2024-04-27,2.250869565217392,0,2024-04-27,FluSight-baseline,3.446839130434783,0.6530242578897112
FluSight-ensemble,32,2024-04-27,2.312895146573546,0,2024-04-27,FluSight-baseline,3.446839130434783,0.671019174103956
MIGHTE-Nsemble,32,2024-04-27,3.9132769078713947,0,2024-04-27,FluSight-baseline,3.446839130434783,1.1353233382196677
MOBS-GLEAM_FLUH,32,2024-04-27,1.7092069565217394,0,2024-04-27,FluSight-baseline,3.446839130434783,0.4958766254652971
NU_UCSD-GLEAM_AI_FLUH,32,2024-04-27,2.7495278260869567,0,2024-04-27,FluSight-baseline,3.446839130434783,0.797695431100706
CEPH-Rtrend_fluH,33,2024-04-27,2.220434782608696,0,2024-04-27,FluSight-baseline,4.974547826086955,0.44635911850410726
FluSight-ensemble,33,2024-04-27,3.480719122076389,0,2024-04-27,FluSight-baseline,4.974547826086955,0.6997056302933103
MIGHTE-Nsemble,33,2024-04-27,5.9359414546624345,0,2024-04-27,FluSight-baseline,4.974547826086955,1.1932625159484544
MOBS-GLEAM_FLUH,33,2024-04-27,1.558695652173913,0,2024-04-27,FluSight-baseline,4.974547826086955,0.31333413742651733
NU_UCSD-GLEAM_AI_FLUH,33,2024-04-27,3.6520978260869557,0,2024-04-27,FluSight-baseline,4.974547826086955,0.7341567422339458
CEPH-Rtrend_fluH,34,2024-04-27,5.585217391304348,0,2024-04-27,FluSight-baseline,11.916871739130437,0.46868150581537565
FluSight-ensemble,34,2024-04-27,6.610849973366207,0,2024-04-27,FluSight-baseline,11.916871739130437,0.5547470945465253
MIGHTE-Nsemble,34,2024-04-27,10.458844393081506,0,2024-04-27,FluSight-baseline,11.916871739130437,0.8776501603804857
MOBS-GLEAM_FLUH,34,2024-04-27,13.675596521739134,0,2024-04-27,FluSight-baseline,11.916871739130437,1.147582756709021
NU_UCSD-GLEAM_AI_FLUH,34,2024-04-27,11.030091739130437,0,2024-04-27,FluSight-baseline,11.916871739130437,0.9255861756833251
CEPH-Rtrend_fluH,35,2024-04-27,4.243478260869565,0,2024-04-27,FluSight-baseline,3.4787543478260865,1.2198269370533055
FluSight-ensemble,35,2024-04-27,3.25502700025105,0,2024-04-27,FluSight-baseline,3.4787543478260865,0.9356875119064253
MIGHTE-Nsemble,35,2024-04-27,5.778560330999867,0,2024-04-27,FluSight-baseline,3.4787543478260865,1.6611004265394467
MOBS-GLEAM_FLUH,35,2024-04-27,7.103478260869565,0,2024-04-27,FluSight-baseline,3.4787543478260865,2.04196029688288
NU_UCSD-GLEAM_AI_FLUH,35,2024-04-27,3.450405217391304,0,2024-04-27,FluSight-baseline,3.4787543478260865,0.9918507811704215
CEPH-Rtrend_fluH,36,2024-04-27,11.882617391304361,0,2024-04-27,FluSight-baseline,33.7462847826087,0.3521163134801767
FluSight-ensemble,36,2024-04-27,16.132579826850353,0,2024-04-27,FluSight-baseline,33.7462847826087,0.4780549897796261
MIGHTE-Nsemble,36,2024-04-27,23.42519295802475,0,2024-04-27,FluSight-baseline,33.7462847826087,0.6941562044215613
MOBS-GLEAM_FLUH,36,2024-04-27,7.294671739130435,0,2024-04-27,FluSight-baseline,33.7462847826087,0.21616221714841266
